## manually taken from https://www.pharmvar.org/genes
## Allele and FunctionChange: PharmVar, Version 4.1.4 Last Updated Feb 14 2020
## Metabolizes: https://www.pharmgkb.org, Clinical Annotations on Gene, all evidence levels
#Allele	Function	Molecule
CYP2A13*7.001	CYP2A13	no function	nicotine
CYP2B6*29	CYP2B6	decreased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*30	CYP2B6	no function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*34	CYP2B6	decreased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*35	CYP2B6	no function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*36	CYP2B6	decreased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*37	CYP2B6	no function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*38	CYP2B6	no function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2C8*5.001	CYP2C8	no function	amodiaquine, ibuprofen, tacrolimus, bisphosphonates, pamidronate, zoledronate, paclitaxel, mycophenolate mofetil, repaglinide, montelukast, cyclophosphamide, epirubicin, fluorouracil, rosiglitazone, pioglitazone
CYP2C8*7.001	CYP2C8	no function	amodiaquine, ibuprofen, tacrolimus, bisphosphonates, pamidronate, zoledronate, paclitaxel, mycophenolate mofetil, repaglinide, montelukast, cyclophosphamide, epirubicin, fluorouracil, rosiglitazone, pioglitazone
CYP2C8*11.001	CYP2C8	no function	amodiaquine, ibuprofen, tacrolimus, bisphosphonates, pamidronate, zoledronate, paclitaxel, mycophenolate mofetil, repaglinide, montelukast, cyclophosphamide, epirubicin, fluorouracil, rosiglitazone, pioglitazone
CYP2C9*2	CYP2C9	decreased function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C9*3	CYP2C9	decreased function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C9*4	CYP2C9	possibly decreased function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C9*5	CYP2C9	possibly decreased function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C9*5	CYP2C9	no function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C9*8	CYP2C9	possibly decreased function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C9*11	CYP2C9	possibly decreased function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C9*12	CYP2C9	possibly decreased function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C9*13	CYP2C9	possibly decreased function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C9*15	CYP2C9	no function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C9*25	CYP2C9	no function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C9*31	CYP2C9	possibly decreased function	warfarin, acenocoumarol, phenytoin, sulfonamides urea derivatives, lornoxicam, ibuprofen, diclofenac, tenoxicam, fluvastatin, phenprocoumon, irbesartan, tolbutamide, valproic acid, celecoxib, busulfan, meloxicam, doxepin, simvastatin, piroxicam, losartan, clopidogrel, trimipramine, anti-inflammatory agents non-steroids, ethambutol, isoniazid, pyrazinamide, rifampin, zafirlukast, flurbiprofen, olanzapine, hormonal contraceptives for systemic use
CYP2C19*2	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*3	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*4	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*5	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*6	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*7	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*8	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*9	CYP2C19	decreased function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*10	CYP2C19	decreased function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*16	CYP2C19	decreased function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*17	CYP2C19	increased function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*19	CYP2C19	decreased function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*22	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*24	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*25	CYP2C19	decreased function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*26	CYP2C19	decreased function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*35	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*36	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2C19*37	CYP2C19	no function	lansoprazole, citalopram, 3,4-methylenedioxymethamphetamine, clopidogrel, mephenytoin, voriconazole, pantoprazole, brivaracetam, warfarin, amitriptyline, doxorubicin, fluorouracil, prasugrel, carisoprodol, diazepam, sertraline, rabeprazole, doxepin, bupropion, nelfinavir, clomipramine, clobazam, esomeprazole, imipramine, tacrolimus, icotinib, venlafaxine, busulfan, omeprazole, valproic acid, nevirapine, ethambutol, isoniazid, pyrazinamide, rifampin, escitalopram, phenazepam, trimipramine, methylphenobarbital, etravirine, tamoxifen, cyclophosphamide, aspirin, phenytoin
CYP2D6*3	CYP2D6	no function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
